# Data source: Coming soon
# Data provenance: Coming soon
# License: Coming soon
time	cases	deaths	hospitalized	icu	recovered
2020-03-22	1	0			0
2020-03-23	1	0			0
2020-03-24	1	0			0
2020-03-25	10	0			0
2020-03-26	15	0			0
2020-03-27	19	0			0
2020-03-28	21	0			0
2020-03-29	23	0			0
2020-03-30	27	0			0
2020-03-31	33	0			0
2020-04-01	38	0			0
2020-04-02	47	0			0
2020-04-03	49	0			0
2020-04-04	58	0			0
2020-04-05	63	0			0
2020-04-06	63	0			0
2020-04-07	69	0			0
2020-04-08	82	0			0
